                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.75648,                 0.4829,                0.82624,                0.97646,                0.92895,                0.97241,                0.77812,                0.65314,                0.42383,                0.80706,             0.00090785,             0.00090785,             0.00090785
                     25,                0.73865,                0.47997,                0.82158,                0.97686,                0.91775,                0.96928,                0.76606,                0.65967,                0.42473,                0.80754,             0.00087484,             0.00087484,             0.00087484
                     26,                0.73173,                0.45449,                0.82197,                 0.9597,                0.94008,                0.97367,                0.78893,                0.65634,                0.41594,                0.80841,             0.00084184,             0.00084184,             0.00084184
                     27,                0.74951,                0.47864,                0.82503,                0.97415,                0.93856,                0.97387,                0.78762,                0.65527,                0.42545,                0.80895,             0.00080883,             0.00080883,             0.00080883
                     28,                0.74733,                0.48045,                 0.8231,                0.97058,                0.93219,                0.97168,                0.78706,                 0.6529,                0.41102,                  0.808,             0.00077582,             0.00077582,             0.00077582
                     29,                0.70327,                0.45612,                0.81813,                0.97113,                0.93374,                0.97265,                 0.8027,                0.63791,                0.41337,                0.80478,             0.00074282,             0.00074282,             0.00074282
                     30,                0.70649,                0.46437,                0.81765,                0.98082,                0.93275,                0.97306,                0.79546,                0.63322,                0.40253,                0.80482,             0.00070981,             0.00070981,             0.00070981
                     31,                0.71023,                0.44746,                 0.8156,                0.97421,                0.92544,                0.96914,                0.79717,                0.63796,                0.39837,                0.80477,              0.0006768,              0.0006768,              0.0006768
                     32,                0.71032,                0.44543,                0.81664,                0.97155,                0.93634,                0.97423,                0.80241,                0.61687,                0.39268,                0.80195,              0.0006438,              0.0006438,              0.0006438
                     33,                0.69653,                 0.4388,                0.81751,                0.97339,                0.93625,                0.97181,                0.80478,                0.60751,                0.38881,                0.79957,             0.00061079,             0.00061079,             0.00061079
                     34,                0.69795,                0.43738,                0.81747,                0.97385,                 0.9405,                0.97301,                0.79907,                0.62551,                0.39001,                0.80264,             0.00057778,             0.00057778,             0.00057778
                     35,                0.70407,                0.43333,                0.81831,                0.98004,                0.94003,                0.97527,                0.80145,                0.61372,                0.38961,                  0.802,             0.00054478,             0.00054478,             0.00054478
                     36,                0.68807,                0.42726,                  0.815,                0.97473,                0.93349,                0.97501,                0.80661,                0.60876,                0.37912,                 0.7997,             0.00051177,             0.00051177,             0.00051177
                     37,                0.66963,                 0.4187,                0.81156,                0.97007,                0.93113,                0.97083,                0.80706,                0.59684,                0.37541,                0.79925,             0.00047876,             0.00047876,             0.00047876
                     38,                0.67134,                0.40739,                0.81126,                0.96725,                0.93821,                0.97361,                 0.8028,                0.61574,                0.37969,                0.79972,             0.00044576,             0.00044576,             0.00044576
                     39,                0.67322,                0.42186,                0.81254,                0.98113,                0.95003,                0.97855,                0.82278,                 0.5871,                0.37738,                0.79782,             0.00041275,             0.00041275,             0.00041275
                     40,                0.65045,                0.40555,                0.81071,                0.97833,                0.94745,                0.97688,                0.81805,                0.59082,                0.37551,                0.79864,             0.00037974,             0.00037974,             0.00037974
                     41,                0.64181,                0.39178,                 0.8128,                 0.9799,                 0.9368,                0.97403,                 0.8122,                0.59984,                0.37197,                0.79917,             0.00034674,             0.00034674,             0.00034674
                     42,                0.61109,                0.37795,                0.81072,                0.98145,                0.93682,                0.97389,                0.81248,                0.59315,                0.36865,                0.79834,             0.00031373,             0.00031373,             0.00031373
                     43,                0.63421,                0.39257,                0.80521,                0.98046,                0.94597,                0.97535,                0.81786,                0.59569,                0.37006,                0.79687,             0.00028072,             0.00028072,             0.00028072
                     44,                0.61956,                0.38632,                0.80797,                0.97803,                0.94034,                0.97572,                0.81411,                0.58782,                0.36553,                0.79852,             0.00024772,             0.00024772,             0.00024772
                     45,                0.62473,                0.38524,                0.80802,                0.97353,                0.94681,                0.97513,                0.81902,                0.57926,                0.35904,                0.79614,             0.00021471,             0.00021471,             0.00021471
                     46,                0.61707,                0.37671,                0.80135,                 0.9823,                0.93735,                0.97398,                 0.8256,                0.57046,                0.35352,                0.79516,              0.0001817,              0.0001817,              0.0001817
                     47,                0.60874,                0.37422,                0.81044,                0.97455,                0.94864,                 0.9773,                0.81795,                0.58206,                0.35473,                0.79703,              0.0001487,              0.0001487,              0.0001487
                     48,                0.60148,                0.36804,                0.80877,                0.97988,                0.94656,                0.97798,                0.82384,                0.57107,                0.34692,                0.79639,             0.00011569,             0.00011569,             0.00011569
                     49,                0.59148,                0.36266,                0.80882,                0.97823,                0.94977,                0.97902,                0.82937,                0.56117,                0.34566,                0.79519,             8.2683e-05,             8.2683e-05,             8.2683e-05
