                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1895,                 2.4093,                0.90524,                0.86388,                0.85002,                0.91125,                0.61988,                0.99875,                 1.2346,                0.87026,             0.00055244,             0.00055244,             0.00055244
                      1,                 1.0646,                 1.4166,                0.88033,                0.92481,                0.89282,                0.94313,                0.66437,                0.93969,                 1.0705,                0.86549,              0.0010862,              0.0010862,              0.0010862
                      2,                 1.0284,                 1.2395,                0.88125,                0.88795,                0.87428,                0.91514,                0.66846,                 0.9144,                0.96527,                0.85322,              0.0015979,              0.0015979,              0.0015979
                      3,                 1.0414,                 1.0902,                0.88199,                0.93857,                0.88091,                0.94705,                0.67312,                0.90339,                0.77757,                0.85364,               0.001568,               0.001568,               0.001568
                      4,                0.97206,                0.95735,                0.86831,                0.88279,                0.83309,                0.91313,                0.67949,                 0.8547,                0.71575,                 0.8453,               0.001568,               0.001568,               0.001568
                      5,                0.95097,                0.87191,                0.86968,                0.94467,                 0.9016,                0.95079,                0.71552,                0.81443,                0.63467,                0.83368,               0.001535,               0.001535,               0.001535
                      6,                0.93141,                0.79947,                0.85849,                0.93945,                0.88257,                0.95344,                0.71723,                0.79879,                0.62764,                0.83232,               0.001502,               0.001502,               0.001502
                      7,                0.91021,                 0.7387,                0.85186,                0.94215,                0.90784,                0.95649,                0.73361,                0.77957,                0.56303,                0.83075,               0.001469,               0.001469,               0.001469
                      8,                0.92838,                0.69947,                0.85359,                0.95258,                0.89368,                0.95221,                  0.726,                0.79174,                0.54508,                0.82893,               0.001436,               0.001436,               0.001436
                      9,                0.85446,                 0.6415,                0.84313,                0.93595,                  0.896,                0.95879,                0.72258,                0.78819,                 0.5311,                0.82694,              0.0014029,              0.0014029,              0.0014029
                     10,                0.85261,                0.61018,                0.83704,                0.96839,                0.90901,                 0.9627,                0.74181,                0.76459,                0.50922,                 0.8227,              0.0013699,              0.0013699,              0.0013699
                     11,                0.85641,                0.61141,                0.84292,                0.96887,                0.90201,                0.96281,                0.76112,                0.72203,                0.48434,                 0.8169,              0.0013369,              0.0013369,              0.0013369
                     12,                0.82577,                0.58084,                0.84208,                 0.9704,                0.90464,                0.96609,                0.73839,                0.72179,                0.50213,                0.82179,              0.0013039,              0.0013039,              0.0013039
                     13,                0.82767,                 0.5715,                0.84137,                0.97128,                0.88621,                0.95922,                0.75544,                0.72633,                0.49507,                0.81838,              0.0012709,              0.0012709,              0.0012709
                     14,                0.84331,                0.56176,                0.84176,                 0.9601,                0.91924,                0.96624,                0.74626,                0.73265,                0.48229,                0.82076,              0.0012379,              0.0012379,              0.0012379
                     15,                0.84293,                0.56754,                0.84045,                0.95959,                 0.9099,                 0.9654,                0.76337,                0.70251,                0.47511,                 0.8154,              0.0012049,              0.0012049,              0.0012049
                     16,                0.81317,                0.56167,                0.82426,                0.95612,                0.91586,                0.96431,                0.75957,                0.71855,                0.47702,                0.81843,              0.0011719,              0.0011719,              0.0011719
                     17,                0.78804,                0.53462,                0.83288,                0.96491,                0.92987,                0.97076,                0.77569,                0.68578,                0.45127,                0.81269,              0.0011389,              0.0011389,              0.0011389
                     18,                0.76373,                0.52032,                0.82858,                0.97128,                0.91736,                0.96917,                0.76812,                 0.6865,                0.44539,                0.81124,              0.0011059,              0.0011059,              0.0011059
                     19,                0.80917,                0.53771,                0.83314,                0.96716,                0.93485,                0.97031,                0.77862,                0.68021,                 0.4477,                0.81045,              0.0010729,              0.0010729,              0.0010729
                     20,                0.76721,                0.50308,                0.82344,                0.96316,                 0.9301,                 0.9682,                0.76682,                0.68543,                0.44311,                0.81251,              0.0010399,              0.0010399,              0.0010399
                     21,                0.74182,                0.48339,                0.82393,                0.95574,                0.92475,                 0.9668,                0.77135,                0.67527,                0.42595,                0.81026,              0.0010069,              0.0010069,              0.0010069
                     22,                0.76008,                0.51159,                 0.8304,                0.96691,                0.93706,                0.97287,                0.78966,                0.67324,                0.43917,                 0.8088,             0.00097386,             0.00097386,             0.00097386
                     23,                0.78425,                0.50937,                0.82954,                0.96601,                0.92435,                0.96801,                0.78189,                0.66479,                0.42558,                0.81044,             0.00094085,             0.00094085,             0.00094085
